Botanical Curves,Forest Branches Variant 1,seed=f&f=frlgrglrf_1_0&g=flrglgrlf_1_0&r=r_3_45&l=l_4_135&it=8,,,
Botanical Curves,Bristle Bush,seed=f&f=frrfrfrllfl_1_0&r=r_3_90&l=l_4_45&it=8,,,
Botanical Curves,Forest Branches,seed=f&f=frrglgrrf_1_0&g=fllgrgllf_1_0&r=r_3_30&l=l_4_30&it=8,,,
Botanical Curves,Thorny Vine,seed=f&f=glflgrfrg_1_0&g=gg_1_0&r=rg_3_135&l=gl_4_45&it=11,,,
Botanical Curves,Flower Trellis,seed=f&f=lflfbrbrrfrfblbl_1_0&b=bb_2_0&r=r_3_120&l=l_4_120&it=8,,,
Botanical Curves,Cactus Hills,seed=f&f=lfrflrfrlfrfl_1_0&r=r_3_120&l=l_4_210&it=6,,,
Botanical Curves,Goldsworthy Leaf Chain,seed=f&f=rffrf_1_0&r=r_4_120&it=9,,,
Botanical Curves,Pine Mountain Range,seed=f&f=rflbr_1_0&b=lbrfl_2_0&r=r_3_105&l=l_4_150&it=15,,,
Botanical Curves,Wheat Stalks,seed=f&f=rflrfl_1_0&b=bb_2_0&r=rb_3_120&l=bl_4_30&it=12,,,
Botanical Curves,Flower Bunches,seed=f&f=rfrflflfrfr_1_0&r=r_3_135&l=l_4_90&it=6,,,
Botanical Curves,Flower Loop Chain,seed=f&L=pLlf_1_0&l=l_3_60&f=flLp_4_90&p=p_4_60&it=14,,,
Botanical Curves,Perspective Pine Row,seed=fbrfbr&f=fbrfbr_1_0&b=bb_2_0&r=r_4_135&it=9,,,
Botanical Curves,Negative Space Trees,seed=frfrfrf&f=fflrfrrfrlff_1_0&r=r_3_150&l=l_4_60&it=6,,,
Botanical Curves,Digital Vine,seed=fx&f=fxy_1_0&b=bb_2_0&r=r_3_90&l=l_4_90&x=xrf_0_0&y=ylb_0_0&it=11,,,
Botanical Curves,Forest Branches Variant 2,seed=g&f=grrflfrrg_1_0&g=gllfrfllg_1_0&r=r_3_30&l=l_4_30&it=8,,,
Botanical Curves,Loopy Vine,seed=r&f=sflr_1_0&b=fblp_2_0&l=l_3_60&r=rlfs_4_90&p=plbr_4_90&s=s_4_60&it=14,,,
Botanical Curves,Flower Dragon,seed=x&f=f_1_0&r=r_3_60&l=l_4_60&x=xrfyfrx_0_0&y=ylfxfly_0_0&it=8,,,
Botanical Curves,Crayon Landscape,seed=x&f=yfllfy_1_0&r=r_3_210&l=l_4_120&x=xlffrrffly_0_0&y=yrfrx_0_0&it=8,,,
Botanical Curves,Bristle Thistle,seed=f&f=flglh_1_0&g=frgrh_1_0&h=fgh_1_0&r=hr_3_60&l=lh_4_60&it=10,,,
Dragon-Like Curves,Half Dragon,seed=f&f=ffllflfl_1_0&l=l_3_135&it=8,,,
Dragon-Like Curves,Cactus Dragon,seed=f&f=ffrrfrfflfllff_1_0&r=r_3_90&l=l_4_90&it=5,,,
Dragon-Like Curves,Terdragon Variant 2,seed=f&f=flbrf_1_0&b=blfrb_2_0&r=r_3_60&l=l_4_60&it=9,,,
Dragon-Like Curves,Dragon Curve,seed=f&f=flg_1_0&g=frg_1_0&r=r_3_90&l=l_4_90&it=13,,,
Dragon-Like Curves,Coral Dragon,seed=f&f=fpfm_1_0&b=rblb_2_0&r=r_3_120&p=bp_3_90&l=lf_4_120&m=m_4_90&it=10,,,
Dragon-Like Curves,Twin Dragon,seed=flf&f=flg_1_0&g=frg_1_0&r=r_3_90&l=l_4_90&it=13,,,
Dragon-Like Curves,Unicorn (Puffer Fish Dragon) Variant ,seed=f&f=frbblfr_1_1&b=blffrbl_2_1&r=r_3_90&l=l_4_90&it=9,,,
Dragon-Like Curves,Terdragon Variant,seed=f&f=frfrrf_1_0&r=r_4_120&it=9,,,
Dragon-Like Curves,Tooth and Claw,seed=f&f=frrffllf_1_0&r=rf_3_120&l=fl_4_120&it=6,,,
Dragon-Like Curves,Sunbonnet Sue Chain,seed=f&f=lflbrfr_1_0&b=brflb_2_0&r=r_3_60&l=l_4_60&it=10,,,
Dragon-Like Curves,Unicorn (Puffer Fish Dragon) Curve,seed=f&f=rbrf_1_0&b=flbl_2_0&r=r_3_90&l=l_4_90&it=15,,,
Dragon-Like Curves,Flower Dragon v2,seed=f&f=rfllffrrfl_1_0&r=r_3_60&l=l_4_60&it=8,,,
Dragon-Like Curves,Rectangle Dragon,seed=f&f=frfgflf_1_0&g=glgfgrg_1_0&r=r_3_90&l=l_4_90&it=8,,,
